Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-u8ks,reaction time,stimulus,button pressed
1,1601568312993,01/10/2020 16:05:12,1601568311451,1,01/10/2020 17:05:11,27347,3,task-qgn4,,7037574,5c59d7eef685da000181d28c,2035451,,complete,,5f75fe024ab2b802235bbd3b,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1368x912,1368x802,,HeadphonesCheck,1,Control,4571.04999999865,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1601568316533,01/10/2020 16:05:16,1601568315074,1,01/10/2020 17:05:15,27347,3,task-qgn4,,7037574,5c59d7eef685da000181d28c,2035451,,complete,,5f75fe024ab2b802235bbd3b,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1368x912,1368x802,,HeadphonesCheck,1,Control,3611.899999988964,/task/40825/1/asset/Dog.mp3,1
3,1601568318804,01/10/2020 16:05:18,1601568317358,1,01/10/2020 17:05:17,27347,3,task-qgn4,,7037574,5c59d7eef685da000181d28c,2035451,,complete,,5f75fe024ab2b802235bbd3b,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1368x912,1368x802,,HeadphonesCheck,1,Control,2274.390000005951,/task/40825/1/asset/Owl.mp3,0
4,1601568320524,01/10/2020 16:05:20,1601568319079,1,01/10/2020 17:05:19,27347,3,task-qgn4,,7037574,5c59d7eef685da000181d28c,2035451,,complete,,5f75fe024ab2b802235bbd3b,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1368x912,1368x802,,HeadphonesCheck,1,Control,1712.4450000119396,/task/40825/1/asset/Goat.mp3,0
1,1601569280266,01/10/2020 16:21:20,1601569280119,-5,01/10/2020 11:21:20,27347,3,task-qgn4,,7037896,5f03759906e72128142f6a0a,2035535,,complete,,5f760144fb2b4b0285f8a739,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 85.0.4183.121,1792x1120,1792x897,,HeadphonesCheck,1,Control,31408.195000003616,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1601569287233,01/10/2020 16:21:27,1601569287132,-5,01/10/2020 11:21:27,27347,3,task-qgn4,,7037896,5f03759906e72128142f6a0a,2035535,,complete,,5f760144fb2b4b0285f8a739,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 85.0.4183.121,1792x1120,1792x897,,HeadphonesCheck,1,Control,7001.125000002503,/task/40825/1/asset/Dog.mp3,1
3,1601569290234,01/10/2020 16:21:30,1601569290160,-5,01/10/2020 11:21:30,27347,3,task-qgn4,,7037896,5f03759906e72128142f6a0a,2035535,,complete,,5f760144fb2b4b0285f8a739,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 85.0.4183.121,1792x1120,1792x897,,HeadphonesCheck,1,Control,3025.995000003604,/task/40825/1/asset/Owl.mp3,0
4,1601569292010,01/10/2020 16:21:32,1601569291926,-5,01/10/2020 11:21:31,27347,3,task-qgn4,,7037896,5f03759906e72128142f6a0a,2035535,,complete,,5f760144fb2b4b0285f8a739,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 85.0.4183.121,1792x1120,1792x897,,HeadphonesCheck,1,Control,1764.7950000027777,/task/40825/1/asset/Goat.mp3,0
1,1601569320760,01/10/2020 16:22:00,1601569320519,3,01/10/2020 19:22:00,27347,3,task-qgn4,,7037913,5e1cd99cbd738506c007f1a2,2035540,,complete,,5f76015cee409402e5f6ef70,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x625,,HeadphonesCheck,1,Control,14515.07500000298,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1601569324246,01/10/2020 16:22:04,1601569324348,3,01/10/2020 19:22:04,27347,3,task-qgn4,,7037913,5e1cd99cbd738506c007f1a2,2035540,,complete,,5f76015cee409402e5f6ef70,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x625,,HeadphonesCheck,1,Control,3798.4700000379235,/task/40825/1/asset/Dog.mp3,1
3,1601569328029,01/10/2020 16:22:08,1601569328130,3,01/10/2020 19:22:08,27347,3,task-qgn4,,7037913,5e1cd99cbd738506c007f1a2,2035540,,complete,,5f76015cee409402e5f6ef70,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x625,,HeadphonesCheck,1,Control,3770.900000119582,/task/40825/1/asset/Owl.mp3,0
4,1601569330543,01/10/2020 16:22:10,1601569330377,3,01/10/2020 19:22:10,27347,3,task-qgn4,,7037913,5e1cd99cbd738506c007f1a2,2035540,,complete,,5f76015cee409402e5f6ef70,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x625,,HeadphonesCheck,1,Control,2239.2649999819696,/task/40825/1/asset/Goat.mp3,0
1,1601569504061,01/10/2020 16:25:04,1601569503749,-7,01/10/2020 09:25:03,27347,3,task-qgn4,,7037969,5e686f5fa6591f11a24b419a,2035553,,complete,,5f7601e5995b52023d2de258,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x937,,HeadphonesCheck,1,Bad Mood,9252.365000000282,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1601569507646,01/10/2020 16:25:07,1601569507384,-7,01/10/2020 09:25:07,27347,3,task-qgn4,,7037969,5e686f5fa6591f11a24b419a,2035553,,complete,,5f7601e5995b52023d2de258,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x937,,HeadphonesCheck,1,Bad Mood,3625.3649999998743,/task/40825/1/asset/Dog.mp3,1
3,1601569511397,01/10/2020 16:25:11,1601569510962,-7,01/10/2020 09:25:10,27347,3,task-qgn4,,7037969,5e686f5fa6591f11a24b419a,2035553,,complete,,5f7601e5995b52023d2de258,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x937,,HeadphonesCheck,1,Bad Mood,3576.4500000004773,/task/40825/1/asset/Owl.mp3,0
4,1601569513088,01/10/2020 16:25:13,1601569512848,-7,01/10/2020 09:25:12,27347,3,task-qgn4,,7037969,5e686f5fa6591f11a24b419a,2035553,,complete,,5f7601e5995b52023d2de258,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x937,,HeadphonesCheck,1,Bad Mood,1885.414999999739,/task/40825/1/asset/Goat.mp3,0
1,1601569788030,01/10/2020 16:29:48,1601569786895,1,01/10/2020 17:29:46,27347,3,task-qgn4,,7038090,5e6571b32013562f77434b40,2035587,,complete,,5f76038d66be1b0241eeccb1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x610,,HeadphonesCheck,1,Bad Mood,7041.355000000294,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1601569790963,01/10/2020 16:29:50,1601569789913,1,01/10/2020 17:29:49,27347,3,task-qgn4,,7038090,5e6571b32013562f77434b40,2035587,,complete,,5f76038d66be1b0241eeccb1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x610,,HeadphonesCheck,1,Bad Mood,2984.799999999723,/task/40825/1/asset/Dog.mp3,1
3,1601569793402,01/10/2020 16:29:53,1601569792331,1,01/10/2020 17:29:52,27347,3,task-qgn4,,7038090,5e6571b32013562f77434b40,2035587,,complete,,5f76038d66be1b0241eeccb1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x610,,HeadphonesCheck,1,Bad Mood,2414.115000000038,/task/40825/1/asset/Owl.mp3,0
4,1601569795490,01/10/2020 16:29:55,1601569794413,1,01/10/2020 17:29:54,27347,3,task-qgn4,,7038090,5e6571b32013562f77434b40,2035587,,complete,,5f76038d66be1b0241eeccb1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x610,,HeadphonesCheck,1,Bad Mood,2075.384999999642,/task/40825/1/asset/Goat.mp3,0
1,1601569809547,01/10/2020 16:30:09,1601569855176,-4,01/10/2020 12:30:55,27347,3,task-qgn4,,7038103,5dddef56946f7cd753f9e2d7,2035590,,complete,,5f76033aa70b67022a57e29c,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x578,,HeadphonesCheck,1,Bad Mood,3216.5600000007544,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1601569811891,01/10/2020 16:30:11,1601569857561,-4,01/10/2020 12:30:57,27347,3,task-qgn4,,7038103,5dddef56946f7cd753f9e2d7,2035590,,complete,,5f76033aa70b67022a57e29c,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x578,,HeadphonesCheck,1,Bad Mood,2381.6850000002887,/task/40825/1/asset/Dog.mp3,1
