Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-cdvn,reaction time,stimulus,button pressed
1,1599014653239,02/09/2020 02:44:13,1599014653023,-4,01/09/2020 22:44:13,24005,8,task-qgn4,,6676517,BLIND,1912522,,complete,,5f4f06125e5b0215bb896204,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1920x1080,1920x1007,,HeadphonesCheck,1,Good Mood,30134.900000004563,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1599014657965,02/09/2020 02:44:17,1599014657840,-4,01/09/2020 22:44:17,24005,8,task-qgn4,,6676517,BLIND,1912522,,complete,,5f4f06125e5b0215bb896204,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1920x1080,1920x1007,,HeadphonesCheck,1,Good Mood,4800.805000006221,/task/40825/1/asset/Dog.mp3,1
3,1599014660021,02/09/2020 02:44:20,1599014659885,-4,01/09/2020 22:44:19,24005,8,task-qgn4,,6676517,BLIND,1912522,,complete,,5f4f06125e5b0215bb896204,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1920x1080,1920x1007,,HeadphonesCheck,1,Good Mood,2043.4949999907985,/task/40825/1/asset/Owl.mp3,0
4,1599014661620,02/09/2020 02:44:21,1599014661511,-4,01/09/2020 22:44:21,24005,8,task-qgn4,,6676517,BLIND,1912522,,complete,,5f4f06125e5b0215bb896204,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1920x1080,1920x1007,,HeadphonesCheck,1,Good Mood,1623.9749999949709,/task/40825/1/asset/Goat.mp3,0
1,1599014667812,02/09/2020 02:44:27,1599014667109,2,02/09/2020 04:44:27,24005,8,task-qgn4,,6676521,BLIND,1912523,,complete,,5f4f06bac0126215b2c3884f,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1920x1080,1536x780,,HeadphonesCheck,1,Good Mood,3603.639999986626,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1599014672830,02/09/2020 02:44:32,1599014672197,2,02/09/2020 04:44:32,24005,8,task-qgn4,,6676521,BLIND,1912523,,complete,,5f4f06bac0126215b2c3884f,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1920x1080,1536x780,,HeadphonesCheck,1,Good Mood,5084.314999985509,/task/40825/1/asset/Dog.mp3,1
3,1599014674655,02/09/2020 02:44:34,1599014673999,2,02/09/2020 04:44:33,24005,8,task-qgn4,,6676521,BLIND,1912523,,complete,,5f4f06bac0126215b2c3884f,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1920x1080,1536x780,,HeadphonesCheck,1,Good Mood,1799.9050000216812,/task/40825/1/asset/Owl.mp3,0
4,1599014677882,02/09/2020 02:44:37,1599014677251,2,02/09/2020 04:44:37,24005,8,task-qgn4,,6676521,BLIND,1912523,,complete,,5f4f06bac0126215b2c3884f,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1920x1080,1536x780,,HeadphonesCheck,1,Good Mood,3249.835000024177,/task/40825/1/asset/Goat.mp3,0
1,1599014908046,02/09/2020 02:48:28,1599014907946,2,02/09/2020 04:48:27,24005,8,task-qgn4,,6676540,BLIND,1912532,,complete,,5f4f07922ba08b154dc72e40,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.83,1920x1080,1920x937,,HeadphonesCheck,1,Bad Mood,14089.554999954998,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1599014910270,02/09/2020 02:48:30,1599014910266,2,02/09/2020 04:48:30,24005,8,task-qgn4,,6676540,BLIND,1912532,,complete,,5f4f07922ba08b154dc72e40,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.83,1920x1080,1920x937,,HeadphonesCheck,1,Bad Mood,2280.650000087917,/task/40825/1/asset/Dog.mp3,1
3,1599014912839,02/09/2020 02:48:32,1599014912872,2,02/09/2020 04:48:32,24005,8,task-qgn4,,6676540,BLIND,1912532,,complete,,5f4f07922ba08b154dc72e40,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.83,1920x1080,1920x937,,HeadphonesCheck,1,Bad Mood,2602.960000745952,/task/40825/1/asset/Owl.mp3,0
4,1599014914756,02/09/2020 02:48:34,1599014914784,2,02/09/2020 04:48:34,24005,8,task-qgn4,,6676540,BLIND,1912532,,complete,,5f4f07922ba08b154dc72e40,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.83,1920x1080,1920x937,,HeadphonesCheck,1,Bad Mood,1909.070000052452,/task/40825/1/asset/Goat.mp3,0
1,1599014991221,02/09/2020 02:49:51,1599014985448,3,02/09/2020 05:49:45,24005,8,task-qgn4,,6676549,BLIND,1912536,,complete,,5f4f07c59d9cdf161693b176,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.83,1920x1080,1920x937,,HeadphonesCheck,1,Bad Mood,26854.234999977052,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1599014996341,02/09/2020 02:49:56,1599014990625,3,02/09/2020 05:49:50,24005,8,task-qgn4,,6676549,BLIND,1912536,,complete,,5f4f07c59d9cdf161693b176,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.83,1920x1080,1920x937,,HeadphonesCheck,1,Bad Mood,5173.689999966882,/task/40825/1/asset/Dog.mp3,1
3,1599014998704,02/09/2020 02:49:58,1599014992984,3,02/09/2020 05:49:52,24005,8,task-qgn4,,6676549,BLIND,1912536,,complete,,5f4f07c59d9cdf161693b176,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.83,1920x1080,1920x937,,HeadphonesCheck,1,Bad Mood,2357.880000025034,/task/40825/1/asset/Owl.mp3,0
4,1599015000708,02/09/2020 02:50:00,1599014994994,3,02/09/2020 05:49:54,24005,8,task-qgn4,,6676549,BLIND,1912536,,complete,,5f4f07c59d9cdf161693b176,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.83,1920x1080,1920x937,,HeadphonesCheck,1,Bad Mood,2007.8349999384955,/task/40825/1/asset/Goat.mp3,0
1,1599014993222,02/09/2020 02:49:53,1599014992148,2,02/09/2020 04:49:52,24005,8,task-qgn4,,6676551,BLIND,1912534,,complete,,5f4f073d725cf115535b770d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.83,1280x720,1280x610,,HeadphonesCheck,1,Bad Mood,13750.949999986915,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
