Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,reaction time,stimulus,button pressed
1,1600098972327,14/09/2020 15:56:12,1600098971571,3,14/09/2020 18:56:11,25911,5,task-qgn4,,6796827,BLIND,1957386,,complete,,5f5f924874c16e06e0a2cbaa,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1920x937,,HeadphonesCheck,1,21334.820000000036,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1600098974937,14/09/2020 15:56:14,1600098974256,3,14/09/2020 18:56:14,25911,5,task-qgn4,,6796827,BLIND,1957386,,complete,,5f5f924874c16e06e0a2cbaa,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1920x937,,HeadphonesCheck,1,2675.8150000005116,/task/40825/1/asset/Dog.mp3,1
3,1600098977749,14/09/2020 15:56:17,1600098977091,3,14/09/2020 18:56:17,25911,5,task-qgn4,,6796827,BLIND,1957386,,complete,,5f5f924874c16e06e0a2cbaa,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1920x937,,HeadphonesCheck,1,2832.9000000012456,/task/40825/1/asset/Owl.mp3,0
4,1600098979995,14/09/2020 15:56:19,1600098979325,3,14/09/2020 18:56:19,25911,5,task-qgn4,,6796827,BLIND,1957386,,complete,,5f5f924874c16e06e0a2cbaa,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1920x937,,HeadphonesCheck,1,2231.595000001107,/task/40825/1/asset/Goat.mp3,0
1,1600099308931,14/09/2020 16:01:48,1600099305480,1,14/09/2020 17:01:45,25911,5,task-qgn4,,6796881,BLIND,1957425,,complete,,5f5f9381c860e10009ef5b03,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1360x768,1360x657,,HeadphonesCheck,1,8579.304999992019,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1600099311540,14/09/2020 16:01:51,1600099308246,1,14/09/2020 17:01:48,25911,5,task-qgn4,,6796881,BLIND,1957425,,complete,,5f5f9381c860e10009ef5b03,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1360x768,1360x657,,HeadphonesCheck,1,2760.7699999934994,/task/40825/1/asset/Dog.mp3,1
3,1600099313579,14/09/2020 16:01:53,1600099310135,1,14/09/2020 17:01:50,25911,5,task-qgn4,,6796881,BLIND,1957425,,complete,,5f5f9381c860e10009ef5b03,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1360x768,1360x657,,HeadphonesCheck,1,1885.8500000205822,/task/40825/1/asset/Owl.mp3,0
4,1600099315715,14/09/2020 16:01:55,1600099312415,1,14/09/2020 17:01:52,25911,5,task-qgn4,,6796881,BLIND,1957425,,complete,,5f5f9381c860e10009ef5b03,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1360x768,1360x657,,HeadphonesCheck,1,2277.299999987008,/task/40825/1/asset/Goat.mp3,0
1,1600099315352,14/09/2020 16:01:55,1600099315213,2,14/09/2020 18:01:55,25911,5,task-qgn4,,6796884,BLIND,1957428,,complete,,5f5f934186b7b800089fdf5d,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,2560x1440,1707x837,,HeadphonesCheck,1,8811.05000000025,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1600099318762,14/09/2020 16:01:58,1600099318706,2,14/09/2020 18:01:58,25911,5,task-qgn4,,6796884,BLIND,1957428,,complete,,5f5f934186b7b800089fdf5d,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,2560x1440,1707x837,,HeadphonesCheck,1,3475.2599999992526,/task/40825/1/asset/Dog.mp3,1
