Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,reaction time,key pressed,builtin rt,end_time,start_time,response,
1,1601310084486,28/09/2020 16:21:24,1601310081683,2,28/09/2020 18:21:21,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,5663,32,5662.524999992456,1601310081682,1601310076019,,
2,1601310088100,28/09/2020 16:21:28,1601310085338,2,28/09/2020 18:21:25,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,3649,32,3648.5199999879114,1601310085338,1601310081689,,
3,1601310095352,28/09/2020 16:21:35,1601310092598,2,28/09/2020 18:21:32,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,7258,32,7258.57000000542,1601310092598,1601310085340,,
4,1601310101094,28/09/2020 16:21:41,1601310098331,2,28/09/2020 18:21:38,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,5732,32,5731.419999967329,1601310098331,1601310092599,,
5,1601310107097,28/09/2020 16:21:47,1601310104340,2,28/09/2020 18:21:44,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,6008,32,6007.975000014994,1601310104340,1601310098332,,
6,1601310113928,28/09/2020 16:21:53,1601310111165,2,28/09/2020 18:21:51,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,6824,32,6823.965000046883,1601310111165,1601310104341,,
7,1601310114037,28/09/2020 16:21:54,1601310111167,2,28/09/2020 18:21:51,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,,,,,,,
8,1601310117245,28/09/2020 16:21:57,1601310114493,2,28/09/2020 18:21:54,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,3324.5400000014342,32,,,,,
9,1601310119487,28/09/2020 16:21:59,1601310116726,2,28/09/2020 18:21:56,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,2231.6400000127032,32,,,,,
10,1601310122117,28/09/2020 16:22:02,1601310119374,2,28/09/2020 18:21:59,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,2646.550000004936,32,,,,,
11,1601310124621,28/09/2020 16:22:04,1601310121851,2,28/09/2020 18:22:01,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,2475.384999997914,32,,,,,
